1	1	"Alex Morgan"	"Director"	"2024-01-15"	
2	1	"Priya Shah"	"Company Secretary"	"2024-06-01"	
3	2	"Sam Carter"	"Director"	"2024-01-15"	
4	2	"Hannah Patel"	"Company Secretary"	"2024-06-01"	
5	3	"Liam Bennett"	"Director"	"2024-01-15"	
6	3	"Chloe Singh"	"Company Secretary"	"2024-06-01"	
7	4	"Noah Reed"	"Director"	"2024-01-15"	
8	4	"Amelia Hughes"	"Company Secretary"	"2024-06-01"	
9	5	"Owen Foster"	"Director"	"2024-01-15"	
10	5	"Sophie Ali"	"Company Secretary"	"2024-06-01"	
11	5	"Ethan Turner"	"Chief Financial Officer"	"2025-02-01"	"2025-12-31"
12	6	"Maya Nair"	"Director"	"2024-01-15"	
13	6	"Jack Brooks"	"Company Secretary"	"2024-06-01"	
14	7	"Zara Khan"	"Director"	"2024-01-15"	
15	7	"Leo Ward"	"Company Secretary"	"2024-06-01"	
16	8	"Isla Nguyen"	"Director"	"2024-01-15"	
17	8	"Miles Murphy"	"Company Secretary"	"2024-06-01"	
18	9	"Anya Holland"	"Director"	"2024-01-15"	
19	9	"Ben Price"	"Company Secretary"	"2024-06-01"	
20	10	"Grace Baker"	"Director"	"2024-01-15"	
21	10	"Theo Evans"	"Company Secretary"	"2024-06-01"	
22	10	"Nina Coleman"	"Chief Financial Officer"	"2025-02-01"	
23	11	"Finn Howard"	"Director"	"2024-01-15"	
24	11	"Aisha Das"	"Company Secretary"	"2024-06-01"	
25	12	"Max Campbell"	"Director"	"2024-01-15"	
26	12	"Elena Ibrahim"	"Company Secretary"	"2024-06-01"	
27	13	"Jacob Stewart"	"Director"	"2024-01-15"	
28	13	"Riya O'Connor"	"Company Secretary"	"2024-06-01"	
29	14	"Callum Walsh"	"Director"	"2024-01-15"	
30	14	"Eva Gibson"	"Company Secretary"	"2024-06-01"	
31	15	"Arjun Rossi"	"Director"	"2024-01-15"	
32	15	"Lucy Fischer"	"Company Secretary"	"2024-06-01"	
33	15	"Tom Santos"	"Chief Financial Officer"	"2025-02-01"	"2025-12-31"
34	16	"Mei Mehta"	"Director"	"2024-01-15"	
35	16	"Daniel Yamamoto"	"Company Secretary"	"2024-06-01"	
36	17	"Sara Black"	"Director"	"2024-01-15"	
37	17	"Kieran Thompson"	"Company Secretary"	"2024-06-01"	
38	18	"Ivy Roy"	"Director"	"2024-01-15"	
39	18	"George Clarke"	"Company Secretary"	"2024-06-01"	
40	19	"Layla Cohen"	"Director"	"2024-01-15"	
41	19	"Harry Henderson"	"Company Secretary"	"2024-06-01"	
42	20	"Mina Jensen"	"Director"	"2024-01-15"	
43	20	"Oscar Mills"	"Company Secretary"	"2024-06-01"	
44	20	"Tara Gupta"	"Chief Financial Officer"	"2025-02-01"	
45	21	"James Pearson"	"Director"	"2024-01-15"	
46	21	"Kavya Harrison"	"Company Secretary"	"2024-06-01"	
47	22	"Adam Diaz"	"Director"	"2024-01-15"	
48	22	"Freya Liu"	"Company Secretary"	"2024-06-01"	
49	23	"Ryan Edwards"	"Director"	"2024-01-15"	
50	23	"Leah Martin"	"Company Secretary"	"2024-06-01"	
51	24	"Aarav Chaudhry"	"Director"	"2024-01-15"	
52	24	"Ruby Bose"	"Company Secretary"	"2024-06-01"	
53	25	"Luke Kaur"	"Director"	"2024-01-15"	
54	25	"Sana Johnson"	"Company Secretary"	"2024-06-01"	
55	25	"Cole Ahmed"	"Chief Financial Officer"	"2025-02-01"	
56	26	"Imogen White"	"Director"	"2024-01-15"	
57	26	"Dev Scott"	"Company Secretary"	"2024-06-01"	
58	27	"Olivia Green"	"Director"	"2024-01-15"	
59	27	"Sean Brown"	"Company Secretary"	"2024-06-01"	
60	28	"Jade Bell"	"Director"	"2024-01-15"	
61	28	"Kai Wilson"	"Company Secretary"	"2024-06-01"	
62	29	"Mia King"	"Director"	"2024-01-15"	
63	29	"Alex Morgan"	"Company Secretary"	"2024-06-01"	
64	30	"Priya Shah"	"Director"	"2024-01-15"	
65	30	"Sam Carter"	"Company Secretary"	"2024-06-01"	
66	30	"Hannah Patel"	"Chief Financial Officer"	"2025-02-01"	"2025-12-31"
67	18	"Scott Pickering"	"Director"	"2026-01-01"	"2026-03-19"
