1	"Acme Corporation"	"active"	3420134	"2026-02-28 19:46:54.605594"
2	"Bluewave Technologies"	"active"	34820134	"2026-02-28 19:46:54.605594"
3	"Cedar Logistics"	"dormant"	31220134	"2026-02-28 19:46:54.605594"
4	"Delta Financial Group"	"active"	81210134	"2026-02-28 19:46:54.605594"
5	"Evergreen Foods"	"dormant"	98210134	"2026-02-28 19:46:54.605594"
6	"Fusion Marketing"	"active"	41388392	"2026-02-28 19:46:54.605594"
7	"Greenfield Energy"	"active"	34881321	"2026-02-28 19:46:54.605594"
8	"Horizon Retail Ltd"	"dormant"	19923801	"2026-02-28 19:46:54.605594"
9	"Ironclad Security"	"active"	39817273	"2026-02-28 19:46:54.605594"
10	"Jupiter Consulting"	"active"	8756617	"2026-02-28 19:46:54.605594"
11	"Kingsbridge Holdings"	"active"	74820193	"2026-02-28 19:46:54.605594"
12	"Lighthouse Digital"	"dormant"	12049833	"2026-02-28 19:46:54.605594"
13	"Monarch Construction"	"active"	88910234	"2026-02-28 19:46:54.605594"
14	"Northshore Ventures"	"active"	66123984	"2026-02-28 19:46:54.605594"
15	"Oakwood Property Group"	"dormant"	45019823	"2026-02-28 19:46:54.605594"
16	"Pinnacle Healthcare"	"active"	73918201	"2026-02-28 19:46:54.605594"
17	"Quantum Data Systems"	"active"	98234710	"2026-02-28 19:46:54.605594"
18	"Redwood Innovations"	"dormant"	30192847	"2026-02-28 19:46:54.605594"
19	"Silverline Transport"	"active"	77291834	"2026-02-28 19:46:54.605594"
20	"Trinity Legal Services"	"active"	11029384	"2026-02-28 19:46:54.605594"
21	"Unity Financial Solutions"	"dormant"	99817234	"2026-02-28 19:46:54.605594"
22	"Velocity Media Group"	"active"	61029348	"2026-02-28 19:46:54.605594"
23	"Westbridge Capital"	"active"	74382910	"2026-02-28 19:46:54.605594"
24	"Xenon Security Ltd"	"dormant"	20938471	"2026-02-28 19:46:54.605594"
25	"Yorkshire Engineering Co"	"active"	88123940	"2026-02-28 19:46:54.605594"
26	"Zenith Retail Holdings"	"active"	65473829	"2026-02-28 19:46:54.605594"
27	"Apollo Creative Agency"	"dormant"	19283746	"2026-02-28 19:46:54.605594"
28	"BrightPath Consulting"	"active"	50392018	"2026-02-28 19:46:54.605594"
29	"Crownfield Logistics"	"active"	78451230	"2026-02-28 19:46:54.605594"
30	"Dynamic Infrastructure Ltd"	"dormant"	23091847	"2026-02-28 19:46:54.605594"
